#CODE,NAME
#SRGDESC=100,Population
#SRGDESC=110,Housing
#SRGDESC=120,Urban Population 
#SRGDESC=130,Rural Population
#SRGDESC=137,Housing Change
#SRGDESC=140,Housing Change and Population
#SRGDESC=150,Residential Heating - Natural Gas
#SRGDESC=160,Residential Heating - Wood
#SRGDESC=170,Residential Heating - Distillate Oil
#SRGDESC=180,Residential Heating - Coal
#SRGDESC=190,Residential Heating - LP Gas
#SRGDESC=200,Urban Primary Road Miles
#SRGDESC=210,Rural Primary Road Miles
#SRGDESC=220,Urban Secondary Road Miles
#SRGDESC=230,Rural Secondary Road Miles
#SRGDESC=240,Total Road Miles
#SRGDESC=250,Urban Primary plus Rural Primary
#SRGDESC=255,0.75 Total Roadway Miles plus 0.25 Population
#SRGDESC=260,Total Railroad Miles
#SRGDESC=270,Class 1 Railroad Miles
#SRGDESC=280,Class 2 and 3 Railroad Miles
#SRGDESC=300,Low Intensity Residential
#SRGDESC=310,Total Agriculture
#SRGDESC=311,Total Agriculture without Orchards/Vineyards
#SRGDESC=312,Orchards/Vineyards
#SRGDESC=320,Forest Land
#SRGDESC=328,Forest External
#SRGDESC=330,Strip Mines/Quarries
#SRGDESC=340,Land  
#SRGDESC=350,Water
#SRGDESC=400,Rural Land Area
#SRGDESC=500,Commercial Land
#SRGDESC=505,Industrial Land
#SRGDESC=510,Commercial plus Industrial
#SRGDESC=515,Commercial plus Institutional Land
#SRGDESC=520,Commercial plus Industrial plus Institutional
#SRGDESC=525,Golf Courses plus Institutional plus Industrial plus Commercial
#SRGDESC=527,Single Family Residential
#SRGDESC=530,Residential - High Density 
#SRGDESC=535,Residential + Commercial + Industrial + Institutional + Government
#SRGDESC=540,Retail Trade (COM1)
#SRGDESC=545,Personal Repair (COM3)
#SRGDESC=550,Retail Trade (COM1) plus Personal Repair (COM3)
#SRGDESC=555,Professional/Technical (COM4) plus General Government (GOV1)
#SRGDESC=560,Hospital (COM6)
#SRGDESC=565,Medical Office/Clinic (COM7)
#SRGDESC=570,Heavy and High Tech Industrial (IND1 + IND5)
#SRGDESC=575,Light and High Tech Industrial (IND2 + IND5)
#SRGDESC=580,"Food, Drug, Chemical Industrial (IND3)"
#SRGDESC=585,Metals and Minerals Industrial (IND4)
#SRGDESC=590,Heavy Industrial (IND1)
#SRGDESC=595,Light Industrial (IND2)
#SRGDESC=596,Industrial plus Institutional plus Hospitals 
#SRGDESC=600,Gas Stations
#SRGDESC=650,Refineries and Tank Farms
#SRGDESC=675,Refineries and Tank Farms and Gas Stations
#SRGDESC=710,Airport Points
#SRGDESC=700,Airport Areas
#SRGDESC=720,Military Airports
#SRGDESC=800,Marine Ports
#SRGDESC=807,Navigable Waterway Miles
#SRGDESC=808,River
#SRGDESC=810,Navigable Waterway Activity
#SRGDESC=850,Golf Courses
#SRGDESC=860,Mines
#SRGDESC=870,Wastewater Treatment Facilities
#SRGDESC=880,Drycleaners
#SRGDESC=890,Commercial Timber
#SRGDESC=891,COW
#SRGDESC=900,Total population
#SRGDESC=901,Total dwelling
#SRGDESC=902,Agricultural and related service industries
#SRGDESC=903,Fishing and trapping industries
#SRGDESC=904,Logging and forestry industries
#SRGDESC=905,"Mining (including milling), quarrying and oil well industries"
#SRGDESC=906,Manufacturing industries
#SRGDESC=907,Construction industries
#SRGDESC=908,Transportation and storage industries
#SRGDESC=909,Communication and other utility industries
#SRGDESC=910,Wholesale trade industries
#SRGDESC=911,Retail trade industries
#SRGDESC=912,Finance and insurance industries
#SRGDESC=913,Real estate operator and insurance agent industries
#SRGDESC=914,Business service industries
#SRGDESC=915,Government service industries
#SRGDESC=916,Educational service industries
#SRGDESC=917,Health and social service industries
#SRGDESC=918,"Accommodation, food and beverage service industries"
#SRGDESC=919,Other service industries
#SRGDESC=920,Combination of Wholesale trade and Retail trade industries
#SRGDESC=921,Combination of Agricultural and Manufacturing industries
#SRGDESC=922,Combination of Forestry and Manufacturing industries
#SRGDESC=923,Combination of Mining and Manufacturing industries
#SRGDESC=924,Combination of Communication industries and Total Dwelling
#SRGDESC=925,Combination of Construction industries and Total Dwelling
#SRGDESC=926,Combination of Government industries and Total Dwelling
#SRGDESC=927,Ferry corridors.
#SRGDESC=928,Marine corridors.
#SRGDESC=929,"Flight corridors, heavy jets."
#SRGDESC=930,"Flight corridors, ligh & medium jets."
#SRGDESC=931,Minor airport location 50km buffer.
#SRGDESC=932,Rail corridors.
#SRGDESC=933,Forest fires.
#SRGDESC=941,Paved Roads
#SRGDESC=942,Unpaved Roads
#SRGDESC=934,Light Duty Gasoline Vehicles (LDGV)
#SRGDESC=935,Light Duty Gasoline Trucks (LDGT)
#SRGDESC=936,Heavy Duty Gasoline Vehicles (HDGV)
#SRGDESC=937,Motorcycles (MC)
#SRGDESC=938,Light Duty Diesel Vehicles (LDDV)
#SRGDESC=939,Light Duty Diesel Trucks (LDDT)
#SRGDESC=940,Heavy Duty Diesel Vehicles (HDDV)
